"ID_REF"	"GSM101095"	"GSM101096"	"GSM101097"	"GSM101098"	"GSM101099"	"GSM101100"	"GSM101101"	"GSM101102"	"GSM101103"	"GSM101104"	"GSM101105"	"GSM101106"	"GSM101107"	"GSM101108"	"GSM101109"	"GSM101110"	"GSM101111"	"GSM101112"	"GSM101113"	"GSM101114"	"GSM101115"	"GSM101116"
"1007_s_at"	3884.3184	1657.2142	2237.6436	1474.7393	2231.866	2535.9995	1956.1013	2298.428	2410.5254	2495.1343	2635.774	2292.1687	1862.3304	1844.3157	2097.944	2466.5142	1992.7407	2232.8494	3326.898	2238.3694	2615.2297	2130.1326
"1053_at"	82.29417	74.9218	76.623764	54.349518	72.081345	78.71504	101.283134	110.99901	114.48204	80.8971	71.81399	94.63428	65.823784	58.283974	80.16585	89.27999	83.198265	60.594906	76.57759	76.25948	68.66434	60.52254
"117_at"	37.470535	77.16988	27.224297	29.231043	30.80294	26.526035	24.233334	24.874979	26.564205	32.034077	26.152197	27.744116	39.44494	51.29215	32.644653	43.022903	33.190834	26.173641	28.923296	26.477106	23.935286	27.868433
"121_at"	254.7697	173.0704	177.90465	135.69762	228.58446	151.09381	168.72105	170.702	149.03482	209.50308	160.58273	130.57368	229.41455	245.25555	156.44774	168.56256	135.45946	177.64897	190.69244	188.69147	171.05447	129.48018
"1255_g_at"	9.972142	9.3465185	11.320443	8.536531	10.041258	9.035363	9.28597	10.272593	10.256649	9.7761135	9.545353	9.385852	9.948459	9.965394	10.015328	11.01684	9.567991	10.641581	9.388623	8.894799	9.506586	9.235668
"1294_at"	379.98947	256.89413	257.22092	274.81375	297.94885	269.55597	205.18219	228.94138	252.25111	302.6745	261.15646	229.06454	197.59775	260.0716	183.3602	261.3776	274.58716	213.72105	316.69415	219.46126	269.56882	197.72386
"1316_at"	67.99345	44.209976	57.607693	44.812862	84.925415	50.42611	42.249077	52.156094	44.220528	45.700108	46.167225	42.673046	59.69895	64.96707	45.01219	69.95351	52.312813	52.590908	52.954704	46.96685	43.89871	48.81215
"1320_at"	35.743847	36.11797	42.168217	29.08443	35.05977	39.163918	39.355362	36.953598	35.245525	41.606323	36.156536	34.53711	33.210213	38.758583	31.868694	44.16424	31.839949	31.037973	39.52512	43.353233	50.425243	33.590454
"1405_i_at"	285.1744	423.06058	129.43097	113.18757	460.65524	123.801544	60.368977	100.79147	125.52635	120.11754	159.67053	82.84348	155.57756	1713.7075	118.035355	207.82782	608.7481	226.04065	153.71306	125.63396	328.26065	55.789753
"1431_at"	11.38259	14.504932	13.653398	16.462742	14.880367	11.132051	16.91338	11.533461	11.223901	16.199638	13.372788	14.377029	13.02307	12.879954	12.9482765	10.647834	14.471274	11.072829	13.023548	12.149163	13.010557	10.242283
"1438_at"	134.05563	67.40178	64.953384	64.12742	76.44891	88.06734	52.249752	83.778496	100.6796	75.78728	70.895744	79.383415	77.7206	83.82705	73.1572	82.12917	66.42434	78.58348	103.84105	67.54331	130.53398	69.98383
"1487_at"	220.63298	143.15886	161.60129	144.41527	190.78256	174.99907	151.65321	148.07315	166.78291	160.55103	140.29823	145.9607	178.04858	212.4144	187.67168	240.77156	124.31234	149.49745	199.46248	131.96634	143.81096	106.82869
"1494_f_at"	190.4915	109.80789	109.61631	107.43803	187.64072	108.36192	141.21722	133.41393	116.4926	207.58447	189.03387	281.4475	94.59335	104.06515	67.14083	125.48949	81.7993	147.97743	181.14381	128.39091	138.38365	557.01263
"1552256_a_at"	78.56613	87.41512	52.76815	47.23916	82.43509	53.662052	45.14412	54.59198	80.09421	71.52559	70.202354	66.27194	87.0397	108.1328	70.608	106.615974	72.49782	81.82509	78.95427	60.096954	87.29687	56.341785
"1552257_a_at"	248.9254	162.9601	191.92787	127.93477	231.09021	277.1447	155.02638	178.37456	235.60132	173.00885	144.76062	190.95776	176.69855	264.0733	179.0195	225.33221	108.85947	187.02222	160.06761	156.99738	153.88988	146.60612
