"GreenMountain" "ForrestHill" "BadHumbug" "CommunistCommune" "FairCity"
101878 141036 987419 1e+05 169933
59424 124963 935132 1e+05 181228
92580 116072 995132 1e+05 8243
102741 128039 985461 1e+05 170675
102170 107133 1003128 1e+05 76163
107033 125014 976007 1e+05 176543
104640 118187 1018417 1e+05 174239
113855 92073 1014914 1e+05 53170
84396 92917 991045 1e+05 67426
80374 93404 1001486 1e+05 191825
75854 87632 965297 1e+05 154754
77432 116585 958013 1e+05 155971
89455 98608 991384 1e+05 183932
107664 87763 994453 1e+05 42174
82579 95405 986616 1e+05 62640
86769 80947 964459 1e+05 105756
61971 76908 977843 1e+05 14845
89363 98426 972166 1e+05 110271
92269 75880 962453 1e+05 115696
102788 102880 957069 1e+05 178674
95369 71331 965421 1e+05 193271
77002 81560 969988 1e+05 105606
83949 120629 984242 1e+05 158288
88299 96917 985228 1e+05 191778
88150 127767 982424 1e+05 122223
131926 89040 1017731 1e+05 19282
135798 120978 995023 1e+05 124298
102351 120589 978810 1e+05 50590
109860 85350 995050 1e+05 65786
101511 97147 943489 1e+05 168581
113488 89524 1021255 1e+05 2139
71110 88000 982487 1e+05 141916
106533 140961 981959 1e+05 101630
104491 81874 987256 1e+05 80058
112536 108318 972416 1e+05 12959
83517 74987 1010738 1e+05 141337
98445 113528 1005260 1e+05 89517
63896 127975 994175 1e+05 144623
100294 69630 937623 1e+05 85048
88843 106188 947819 1e+05 106209
105486 82341 1002321 1e+05 163816
118017 127845 977932 1e+05 53810
100472 43067 975553 1e+05 68727
113031 131856 975829 1e+05 34414
119770 105067 991867 1e+05 178031
90985 94103 970232 1e+05 128606
35161 130031 959529 1e+05 59191
83635 94924 962036 1e+05 61371
94882 101053 971147 1e+05 188592
121679 125147 1007120 1e+05 193718
90096 54527 995941 1e+05 16875
98667 104279 985693 1e+05 137281
116463 111634 979558 1e+05 184427
105458 102568 979506 1e+05 110169
92569 94470 952771 1e+05 73779
70770 109627 999035 1e+05 120736
96431 78698 994587 1e+05 36377
99604 87439 958147 1e+05 151681
99280 92722 990507 1e+05 124348
105682 107428 990301 1e+05 73075
96284 135287 1000869 1e+05 34371
105389 121497 989986 1e+05 176576
90659 108003 990598 1e+05 87698
98424 105535 997474 1e+05 98495
115710 117508 983665 1e+05 23503
76527 110315 961357 1e+05 149604
91353 96429 937337 1e+05 127250
97647 115578 962242 1e+05 61831
121610 105367 1014505 1e+05 50320
110730 93935 994127 1e+05 94015
91817 80151 954901 1e+05 60740
83544 68476 977722 1e+05 42123
110808 99454 974357 1e+05 46901
107121 104209 980005 1e+05 52412
133432 115453 980021 1e+05 1029
131866 76280 980638 1e+05 149885
59836 92490 952060 1e+05 114513
118630 91512 997455 1e+05 167179
82907 112629 972857 1e+05 49069
122197 113244 955662 1e+05 154030
88448 73640 953943 1e+05 126429
88073 130227 945029 1e+05 97099
